Time_Index,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,Onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,MA_battery,CT_battery,ME_battery
480,1,0,1,0.155117512,0,1,1,1,1
481,1,0,1,0.115278736,0,1,1,1,1
482,1,0,1,0.155447826,0,1,1,1,1
483,1,0,1,0.072547182,0,1,1,1,1
484,1,0,1,0.144462854,0,1,1,1,1
485,1,0,1,0.183930919,0,1,1,1,1
486,1,0,1,0.203272656,0,1,1,1,1
487,1,0,1,0.239064619,0,1,1,1,1
488,1,0,1,0.094089612,0,1,1,1,1
489,1,0.0338,1,0.286774069,0.0205,1,1,1,1
490,1,0.1381,1,0.337916911,0.109,1,1,1,1
491,1,0.2102,1,0.487129182,0.1812,1,1,1,1
492,1,0.2284,1,0.663680077,0.211,1,1,1,1
493,1,0.2429,1,0.707178533,0.2366,1,1,1,1
494,1,0.2345,1,0.703727543,0.243,1,1,1,1
495,1,0.196,1,0.836910427,0.2089,1,1,1,1
496,1,0.1088,1,0.838694572,0.1287,1,1,1,1
497,1,0.0095,1,0.871360719,0.0039,1,1,1,1
498,1,0,1,0.667689741,0,1,1,1,1
499,1,0,1,0.593007982,0,1,1,1,1
500,1,0,1,0.333399504,0,1,1,1,1
501,1,0,1,0.333859414,0,1,1,1,1
502,1,0,1,0.497745693,0,1,1,1,1
503,1,0,1,0.374511361,0,1,1,1,1
504,1,0,1,0.71743232,0,1,1,1,1
505,1,0,1,0.65400058,0,1,1,1,1
506,1,0,1,0.640632212,0,1,1,1,1
507,1,0,1,0.674216628,0,1,1,1,1
508,1,0,1,0.591154337,0,1,1,1,1
509,1,0,1,0.498415291,0,1,1,1,1
510,1,0,1,0.539107561,0,1,1,1,1
511,1,0,1,0.597886682,0,1,1,1,1
512,1,0,1,0.524519503,0,1,1,1,1
513,1,0.2175,1,0.714665174,0.2258,1,1,1,1
514,1,0.4081,1,0.201284081,0.4428,1,1,1,1
515,1,0.5613,1,0.012974607,0.5538,1,1,1,1
516,1,0.5322,1,0.034633961,0.6097,1,1,1,1
517,1,0.5679,1,0.082750432,0.6059,1,1,1,1
518,1,0.5247,1,0.036179084,0.5139,1,1,1,1
519,1,0.4229,1,0.006105063,0.4232,1,1,1,1
520,1,0.3114,1,0.173815444,0.363,1,1,1,1
521,1,0.109,1,0.260041893,0.1806,1,1,1,1
522,1,0,1,0.468751878,0,1,1,1,1
